时间,货币和准货币(M2)供应量期末值(亿元),货币和准货币(M2)供应量同比增长(%),货币(M1)供应量期末值(亿元),货币(M1)供应量同比增长(%),流通中现金(M0)供应量期末值(亿元),流通中现金(M0)供应量同比增长(%)
2016年10月,1519485.4,11.6,465446.65,23.9,64214.93,7.2
2016年9月,1516360.5,11.5,454340.25,24.7,65068.62,6.6
2016年8月,1510982.91,11.4,454543.6,25.3,63454.7,7.4
2016年7月,1491558.72,10.2,442934.43,25.4,63276.01,7.2
2016年6月,1490491.83,11.8,443643.7,24.6,62818.89,7.2
2016年5月,1461695.11,11.8,424250.7,23.7,62780.71,6.3
2016年4月,1445209.59,12.8,413504.84,22.9,64403.17,6
2016年3月,1446198.03,13.4,411581.31,22.1,64651.21,4.4
2016年2月,1424618.68,13.3,392504.7,17.4,69421.5,-4.8
2016年1月,1416319.55,14,412685.64,18.6,72526.51,15.1
2015年12月,1392278.11,13.3,400953.44,15.2,63216.58,4.9
2015年11月,1373956.01,13.7,387618.32,15.7,60328.24,3.2
2015年10月,1361020.7,13.5,375806.45,14,59900.48,3.8
2015年9月,1359824.06,13.1,364416.9,11.4,61022.97,3.7
2015年8月,1356907.98,13.3,362793.73,9.3,59061.79,1.8
2015年7月,1353210.92,13.3,353122.19,6.6,59010.71,2.9
2015年6月,1333375.36,11.8,356082.86,4.3,58604.26,2.9
2015年5月,1307357.63,10.8,343085.86,4.7,59075.97,1.8
2015年4月,1280779.14,10.1,336388.24,3.7,60772.46,3.7
2015年3月,1275332.78,11.6,337210.52,2.9,61949.81,6.2
2015年2月,1257380.48,12.5,334439.22,5.6,72896.19,17
2015年1月,1242710.22,10.8,348109.5,10.6,63040.51,-17.6
2014年12月,1228374.81,12.2,348056.41,3.2,60259.53,2.9
2014年11月,1208605.95,12.3,335114.13,3.2,58438.53,3.5
2014年10月,1199236.31,12.6,329617.73,3.2,57691.64,3.8
2014年9月,1202051.41,12.9,327220.21,4.8,58844.99,4.2
2014年8月,1197499.08,12.8,332023.23,5.7,57997.61,5.6
2014年7月,1194249.24,13.5,331347.32,6.7,57346.5,5.4
2014年6月,1209587.2,14.7,341487.45,8.9,56951.05,5.3
2014年5月,1182293.96,13.4,327839.56,5.7,58051.11,6.7
2014年4月,1168812.67,13.2,324482.52,5.5,58615.54,5.4
2014年3月,1160687.38,12.1,327683.74,5.4,58329.3,5.2
2014年2月,1131760.83,13.3,316625.11,6.9,62320.95,3.3
2014年1月,1123521.21,13.2,314900.55,1.2,76488.6,22.5
2013年12月,1106524.98,13.6,337291.05,9.3,58574.44,7.1
2013年11月,1079257.06,14.2,324821.92,9.4,56441.27,7.7
2013年10月,1070242.17,14.3,319509.38,8.9,55595.72,8
2013年9月,1077379.16,14.2,312330.34,8.9,56492.53,5.7
2013年8月,1061256.43,14.7,314085.91,9.9,54925.35,9.3
2013年7月,1052212.34,14.5,310596.46,9.7,54412.78,9.5
2013年6月,1054403.69,14,313499.82,9,54063.91,9.7
2013年5月,1042169.16,15.8,310204.48,11.3,54431.39,11
2013年4月,1032551.9,16.1,307648.42,11.9,55607.15,10.8
2013年3月,1035858.37,15.7,310898.29,11.8,55460.52,11.8
2013年2月,998600.83,15.2,296103.24,9.5,60313.65,17.2
2013年1月,992129.25,15.9,311228.55,15.3,62449.63,4.4
2012年12月,974159.46,13.8,308672.99,6.5,54659.81,7.7
2012年11月,944832.4,13.9,296883,5.5,52392.12,10.7
2012年10月,936404.28,14.1,293309.78,6.1,51467.71,10.5
2012年9月,943688.75,14.8,286788.21,7.3,53433.49,13.3
2012年8月,924894.59,13.5,285739.27,4.5,50235.06,9.7
2012年7月,919072.4,13.9,283090.68,4.6,49705.85,10
2012年6月,924991.2,13.6,287526.17,4.7,49284.64,10.8
2012年5月,900048.77,13.2,278656.31,3.5,49039.72,10
2012年4月,889604.04,12.8,274983.82,3.1,50199.32,10.4
2012年3月,895565.5,13.4,277998.11,4.4,49595.74,10.6
2012年2月,867171.42,13,270312.11,4.3,51448.78,8.8
2012年1月,855898.89,12.4,270010.4,3.2,59820.72,3
2011年12月,851590.9,13.6,289847.7,7.9,50748.46,13.8
2011年11月,825493.94,12.7,281416.37,7.8,47317.26,12
2011年10月,816829.25,12.9,276552.67,8.4,46579.39,11.9
2011年9月,787406.2,13,267193.16,8.9,47145.29,12.7
2011年8月,780852.3,13.6,273393.77,11.2,45775.29,14.7
